Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Michael Jordan,24.0,CHI,SG,82.0,82.0,40.4,13.0,24.4,0.535,0.1,0.6,0.132,13.0,23.7,0.546,0.537,8.8,10.5,0.841,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35.0,"MVP-1,DPOY-1,AS,NBA1"
2.0,Dominique Wilkins,28.0,ATL,SF,78.0,76.0,37.8,11.7,25.1,0.464,0.5,1.7,0.295,11.2,23.4,0.476,0.474,6.9,8.4,0.826,2.7,3.7,6.4,2.9,1.3,0.6,2.8,2.1,30.7,"MVP-6,AS,NBA2"
3.0,Larry Bird,31.0,BOS,SF,76.0,75.0,39.0,11.6,22.0,0.527,1.3,3.1,0.414,10.3,18.9,0.546,0.556,5.5,6.0,0.916,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9,"MVP-2,AS,NBA1"
4.0,Charles Barkley,24.0,PHI,PF,80.0,80.0,39.6,9.4,16.0,0.587,0.6,2.0,0.28,8.9,14.1,0.63,0.604,8.9,11.9,0.751,4.8,7.1,11.9,3.2,1.3,1.3,3.8,3.5,28.3,"MVP-4,AS,NBA1"
5.0,Karl Malone,24.0,UTA,PF,82.0,82.0,39.0,10.5,20.1,0.52,0.0,0.1,0.0,10.5,20.1,0.522,0.52,6.7,9.6,0.7,3.4,8.6,12.0,2.4,1.4,0.6,4.0,3.6,27.7,"MVP-8,AS,NBA2"
6.0,Clyde Drexler,25.0,POR,SG,81.0,80.0,37.8,10.5,20.7,0.506,0.1,0.6,0.212,10.3,20.1,0.515,0.509,5.9,7.2,0.811,3.2,3.4,6.6,5.8,2.5,0.6,2.9,3.1,27.0,"MVP-5,DPOY-8,AS,NBA2"
7.0,Dale Ellis,27.0,SEA,SG,75.0,73.0,37.2,10.2,20.3,0.503,1.4,3.5,0.413,8.8,16.8,0.521,0.538,4.0,5.3,0.767,2.2,2.3,4.5,2.6,1.0,0.1,2.3,2.9,25.8,
8.0,Mark Aguirre,28.0,DAL,SF,77.0,77.0,33.9,9.7,20.4,0.475,0.7,2.2,0.302,9.0,18.2,0.496,0.491,5.0,6.5,0.77,2.4,3.3,5.6,3.6,0.9,0.7,2.6,2.9,25.1,"MVP-14,AS"
9.0,Alex English,34.0,DEN,SF,80.0,80.0,35.2,10.5,21.3,0.495,0.0,0.1,0.0,10.5,21.2,0.496,0.495,3.9,4.7,0.828,2.1,2.6,4.7,4.7,0.9,0.3,2.3,2.4,25.0,"MVP-11,AS"
10.0,Hakeem Olajuwon,25.0,HOU,C,79.0,79.0,35.8,9.0,17.5,0.514,0.0,0.1,0.0,9.0,17.5,0.516,0.514,4.8,6.9,0.695,3.8,8.3,12.1,2.1,2.1,2.7,3.1,4.1,22.8,"MVP-7,DPOY-3,AS,NBA1"
