Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
1.0,Bob McAdoo,23.0,BUF,C,82.0,,43.2,13.4,26.1,0.512,7.8,9.7,0.805,3.7,10.3,14.1,2.2,1.1,2.1,3.4,34.5,"MVP-1,AS,NBA1"
2.0,Rick Barry,30.0,GSW,SF,80.0,,40.4,12.9,27.7,0.464,4.9,5.5,0.904,1.2,4.6,5.7,6.2,2.9,0.4,2.8,30.6,"MVP-4,AS,NBA1"
3.0,Kareem Abdul-Jabbar,27.0,MIL,C,65.0,,42.3,12.5,24.4,0.513,5.0,6.6,0.763,3.0,11.0,14.0,4.1,1.0,3.3,3.2,30.0,"MVP-5,AS"
4.0,Tiny Archibald,26.0,KCO,PG,82.0,,39.6,9.3,20.3,0.456,8.0,9.1,0.872,0.6,2.1,2.7,6.8,1.5,0.1,2.3,26.5,"MVP-6,AS,NBA1"
5.0,Charlie Scott,26.0,PHO,PG,69.0,,37.6,10.2,23.1,0.441,4.0,5.1,0.781,1.0,2.9,4.0,4.5,1.6,0.3,4.3,24.3,AS
6.0,Bob Lanier,26.0,DET,C,76.0,,39.3,9.6,18.9,0.51,4.8,5.9,0.802,3.0,9.1,12.0,4.6,1.0,2.3,3.1,24.0,"MVP-13,AS"
7.0,Elvin Hayes,29.0,WSB,PF,82.0,,42.3,9.0,20.3,0.443,5.0,6.5,0.766,2.7,9.5,12.2,2.5,1.9,2.3,2.9,23.0,"MVP-3,AS,NBA1"
8.0,Gail Goodrich,31.0,LAL,SG,72.0,,37.1,9.1,19.8,0.459,4.4,5.3,0.841,1.3,1.7,3.0,5.8,1.4,0.1,3.0,22.6,AS
9.0,Spencer Haywood,25.0,SEA,PF,68.0,,37.2,8.9,19.5,0.459,4.5,5.6,0.811,2.9,6.4,9.3,2.0,0.8,1.6,2.5,22.4,"MVP-13,AS,NBA2"
11.0,Bob Love,32.0,CHI,PF,61.0,57.0,39.4,8.8,20.6,0.429,4.3,5.2,0.83,1.6,4.7,6.3,1.7,1.0,0.2,3.4,22.0,MVP-19
12.0,Fred Carter,29.0,PHI,PG,77.0,75.0,39.6,9.3,20.8,0.447,3.3,4.5,0.738,0.9,3.5,4.4,4.4,1.1,0.3,3.3,21.9,
13.0,Phil Chenier,24.0,WSB,SG,77.0,,37.3,9.0,19.9,0.45,3.9,4.7,0.825,1.0,2.8,3.8,3.2,2.3,0.8,2.1,21.8,"MVP-8,AS,NBA2"
