Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,George Gervin,29.0,SAS,SG,79.0,79.0,35.7,12.6,25.2,0.5,0.1,0.5,0.278,12.4,24.7,0.504,0.502,7.0,8.1,0.864,1.7,3.2,5.0,2.4,1.0,0.6,2.7,2.7,32.3,"MVP-6,AS,NBA1"
2.0,Moses Malone,26.0,HOU,C,81.0,81.0,42.0,11.7,22.5,0.519,0.0,0.1,0.0,11.7,22.4,0.52,0.519,7.8,10.2,0.762,6.9,7.8,14.7,1.8,0.9,1.5,3.6,2.6,31.1,"MVP-1,AS,NBA1"
3.0,Adrian Dantley,26.0,UTA,SF,81.0,81.0,39.8,11.2,19.6,0.57,0.0,0.0,0.333,11.1,19.5,0.57,0.57,8.0,10.1,0.792,2.9,3.5,6.3,4.0,1.2,0.2,3.7,3.1,30.3,"MVP-15,AS"
4.0,Alex English,28.0,DEN,SF,82.0,82.0,36.8,10.4,18.9,0.551,0.0,0.1,0.0,10.4,18.8,0.553,0.551,4.5,5.4,0.84,2.6,4.2,6.8,5.3,1.1,1.5,3.2,3.2,25.4,"MVP-13,AS,NBA2"
5.0,Julius Erving,31.0,PHI,SF,81.0,81.0,34.4,9.6,17.6,0.546,0.0,0.1,0.273,9.6,17.5,0.548,0.547,5.1,6.7,0.763,2.7,4.2,6.9,3.9,2.0,1.7,2.6,2.8,24.4,"MVP-3,AS,NBA1"
6.0,Kareem Abdul-Jabbar,34.0,LAL,C,76.0,76.0,35.2,9.9,17.1,0.579,0.0,0.0,0.0,9.9,17.1,0.58,0.579,4.1,5.8,0.706,2.3,6.4,8.7,3.0,0.8,2.7,3.0,2.9,23.9,"MVP-10,AS"
7.0,Gus Williams,28.0,SEA,PG,80.0,80.0,36.0,9.7,19.9,0.486,0.1,0.5,0.225,9.6,19.4,0.492,0.488,4.0,5.5,0.734,1.2,1.9,3.1,6.9,2.2,0.5,2.5,2.0,23.4,"MVP-5,AS,NBA1"
8.0,Bernard King,25.0,GSW,SF,79.0,77.0,36.2,9.4,16.5,0.566,0.0,0.1,0.2,9.4,16.5,0.568,0.567,4.5,6.3,0.705,1.8,4.2,5.9,3.6,1.0,0.3,3.4,3.6,23.2,"MVP-14,AS,NBA2"
9.0,Larry Bird,25.0,BOS,PF,77.0,58.0,38.0,9.2,18.4,0.503,0.1,0.7,0.212,9.1,17.7,0.514,0.507,4.3,4.9,0.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9,"MVP-2,AS,NBA1"
10.0,World B. Free,28.0,GSW,SG,78.0,78.0,35.8,8.3,18.6,0.448,0.1,0.7,0.179,8.2,17.9,0.458,0.451,6.1,8.3,0.74,1.5,1.7,3.2,5.4,0.9,0.1,2.7,2.8,22.9,
