Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,George Gervin,25.0,SAS,SG,82.0,82.0,34.8,10.5,19.6,0.536,6.1,7.4,0.83,1.4,3.7,5.1,3.7,1.7,1.3,3.7,3.1,27.2,"MVP-2,AS,NBA1"
2.0,David Thompson,23.0,DEN,SG,80.0,,37.8,10.3,19.8,0.521,6.5,8.4,0.778,2.0,2.9,4.9,4.5,1.2,1.2,3.1,2.7,27.2,"MVP-3,AS,NBA1"
4.0,Bob McAdoo,26.0,NYK,C,79.0,78.0,40.3,10.3,19.8,0.52,5.9,8.2,0.727,3.0,9.8,12.8,3.8,1.3,1.6,4.4,3.8,26.5,"MVP-10,AS"
5.0,Kareem Abdul-Jabbar,30.0,LAL,C,62.0,,36.5,10.7,19.4,0.55,4.4,5.6,0.783,3.0,9.9,12.9,4.3,1.7,3.0,3.4,2.9,25.8,"MVP-4,NBA2"
6.0,Calvin Murphy,29.0,HOU,SG,76.0,,38.2,11.2,22.9,0.491,3.2,3.5,0.918,0.8,1.4,2.2,3.4,1.5,0.0,2.3,3.2,25.6,
7.0,Paul Westphal,27.0,PHO,SG,80.0,,31.0,10.1,19.6,0.516,5.0,6.1,0.813,0.5,1.5,2.1,5.5,1.7,0.4,3.5,2.0,25.2,"MVP-6,AS,NBA2"
8.0,Randy Smith,29.0,BUF,SG,82.0,82.0,40.4,9.6,20.7,0.465,5.4,6.8,0.8,1.3,2.4,3.8,5.6,2.1,0.1,3.5,2.7,24.6,AS
9.0,Bob Lanier,29.0,DET,C,63.0,,36.7,9.9,18.4,0.537,4.7,6.1,0.772,3.1,8.2,11.3,3.4,1.3,1.5,3.6,2.9,24.5,"MVP-10,AS"
10.0,Walter Davis,23.0,PHO,SF,81.0,,32.0,9.7,18.4,0.526,4.8,5.8,0.83,2.0,4.0,6.0,3.4,1.4,0.2,3.5,3.0,24.2,"MVP-5,ROY-1,AS,NBA2"
11.0,Bernard King,21.0,NJN,SF,79.0,,39.1,10.1,21.1,0.479,4.0,5.8,0.677,3.4,6.2,9.5,2.4,1.5,0.5,3.9,3.8,24.2,ROY-3
12.0,John Williamson,26.0,2TM,SG,75.0,,36.4,9.6,22.0,0.438,4.4,5.2,0.847,0.9,2.1,3.0,2.9,1.3,0.1,3.0,3.1,23.7,
13.0,John Drew,23.0,ATL,SF,70.0,,31.5,8.5,17.7,0.48,6.2,8.2,0.76,3.0,4.3,7.3,2.0,1.7,0.4,3.0,3.5,23.2,
14.0,Rick Barry,33.0,GSW,SF,82.0,82.0,36.9,9.3,20.6,0.451,4.6,5.0,0.924,0.9,4.6,5.5,5.4,1.9,0.5,2.7,2.3,23.1,AS
15.0,Artis Gilmore,28.0,CHI,C,82.0,82.0,37.4,8.6,15.4,0.559,5.7,8.2,0.704,3.9,9.2,13.1,3.2,0.5,2.2,4.5,3.2,22.9,"MVP-8,AS"
17.0,Truck Robinson,26.0,NOJ,PF,82.0,82.0,44.4,9.1,20.5,0.444,4.5,7.0,0.64,3.6,12.1,15.7,2.1,0.9,1.0,3.7,3.2,22.7,"MVP-8,AS,NBA1"
18.0,Adrian Dantley,22.0,2TM,SF,79.0,,37.1,7.3,14.3,0.512,6.8,8.6,0.796,3.4,4.5,7.8,3.2,1.5,0.3,2.9,2.9,21.5,
20.0,Dan Issel,29.0,DEN,C,82.0,,34.8,8.0,15.7,0.512,5.2,6.7,0.782,3.1,7.0,10.1,3.7,1.2,0.5,3.2,3.4,21.3,
21.0,Julius Erving,27.0,PHI,SF,74.0,68.0,32.8,8.3,16.4,0.502,4.1,4.9,0.845,2.4,4.1,6.5,3.8,1.8,1.3,3.2,2.8,20.6,"MVP-10,AS,NBA1"
22.0,Larry Kenon,25.0,SAS,SF,81.0,,35.4,8.6,17.6,0.489,3.4,4.0,0.854,3.0,6.5,9.5,3.3,1.4,0.3,3.4,2.6,20.6,AS
23.0,George McGinnis,27.0,PHI,PF,78.0,76.0,32.5,7.5,16.3,0.463,5.3,7.4,0.716,3.6,6.8,10.4,3.8,1.8,0.3,4.0,3.7,20.3,
24.0,Brian Winters,25.0,MIL,SG,80.0,,34.4,8.4,18.2,0.463,3.1,3.7,0.84,1.1,2.0,3.1,4.9,1.6,0.3,3.0,3.0,19.9,AS
25.0,Doug Collins,26.0,PHI,SG,79.0,77.0,35.1,8.1,15.5,0.526,3.4,4.2,0.812,1.1,1.8,2.9,4.1,1.6,0.3,3.2,2.9,19.7,AS
26.0,Elvin Hayes,32.0,WSB,PF,81.0,,40.1,7.9,17.4,0.451,4.0,6.3,0.634,4.1,9.1,13.3,1.8,1.2,2.0,2.8,3.9,19.7,AS
27.0,Phil Smith,25.0,GSW,SG,82.0,82.0,35.9,7.9,16.7,0.472,3.9,4.7,0.812,1.2,2.4,3.7,4.8,1.3,0.3,3.2,2.7,19.7,
28.0,Marques Johnson,21.0,MIL,SF,80.0,,34.6,7.9,15.1,0.522,3.8,5.1,0.736,3.7,6.9,10.6,2.4,1.2,1.3,2.2,2.8,19.5,"MVP-10,ROY-2"
29.0,Moses Malone,22.0,HOU,C,59.0,,35.7,7.0,14.0,0.499,5.4,7.5,0.718,6.4,8.6,15.0,0.5,0.8,1.3,3.7,3.0,19.4,AS
30.0,Campy Russell,26.0,CLE,SF,72.0,,35.0,7.3,16.2,0.448,4.9,6.5,0.751,2.1,4.2,6.4,3.9,1.2,0.2,2.9,2.7,19.4,
31.0,Bob Dandridge,30.0,WSB,SF,75.0,,37.0,7.5,15.9,0.471,4.4,5.6,0.788,1.8,4.1,5.9,3.8,1.3,0.6,3.2,3.5,19.3,
33.0,Dave Cowens,29.0,BOS,C,77.0,,41.8,7.8,15.8,0.49,3.1,3.7,0.842,3.2,10.8,14.0,4.6,1.3,0.9,2.8,3.9,18.6,AS
