Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,LeBron James,20.0,CLE,SF,80.0,80.0,3388.0,12.6,26.6,0.472,1.7,4.9,0.351,10.8,21.7,0.499,0.504,7.5,10.0,0.75,1.8,7.5,9.3,9.1,2.8,0.8,4.1,2.3,34.3,114.0,103.0,"MVP-6,AS,NBA2"
2.0,Stephon Marbury,27.0,NYK,PG,82.0,82.0,3281.0,9.7,21.1,0.462,1.9,5.2,0.354,7.9,15.9,0.497,0.506,7.4,8.9,0.834,0.8,3.2,4.0,10.8,2.0,0.1,3.8,3.0,28.7,118.0,111.0,
3.0,Gilbert Arenas,23.0,WAS,PG,80.0,80.0,3274.0,10.3,23.9,0.431,3.2,8.8,0.365,7.1,15.1,0.469,0.498,8.2,10.1,0.814,1.3,4.6,5.9,6.5,2.2,0.4,3.8,3.8,32.0,115.0,109.0,"MVP-12,AS,NBA3"
4.0,Joe Johnson,23.0,PHO,SF,82.0,82.0,3240.0,8.4,18.2,0.461,2.7,5.7,0.478,5.7,12.5,0.454,0.536,2.1,2.8,0.75,1.9,4.7,6.5,4.5,1.2,0.4,2.3,2.6,21.6,113.0,110.0,
5.0,Tracy McGrady,25.0,HOU,SF,78.0,78.0,3182.0,12.2,28.2,0.431,2.4,7.4,0.326,9.7,20.8,0.468,0.473,7.3,9.5,0.774,1.2,7.0,8.2,7.6,2.3,0.9,3.4,2.8,34.0,109.0,101.0,"MVP-7,AS,NBA3"
6.0,Allen Iverson,29.0,PHI,PG,75.0,75.0,3174.0,12.3,29.0,0.424,1.7,5.4,0.308,10.6,23.6,0.451,0.453,10.4,12.5,0.835,0.8,3.9,4.8,9.5,2.9,0.1,5.5,2.2,36.7,105.0,105.0,"MVP-5,DPOY-11,AS,NBA1"
7.0,Shawn Marion,26.0,PHO,PF,81.0,81.0,3146.0,9.8,20.5,0.476,1.8,5.4,0.334,7.9,15.1,0.526,0.52,3.6,4.4,0.833,3.7,10.8,14.6,2.4,2.6,1.9,2.0,3.2,25.0,116.0,101.0,"MVP-14,DPOY-5,AS,NBA3"
8.0,Kevin Garnett,28.0,MIN,PF,82.0,82.0,3121.0,11.8,23.5,0.502,0.1,0.4,0.24,11.7,23.0,0.507,0.504,7.7,9.5,0.811,4.3,14.9,19.1,8.0,2.1,1.9,3.8,3.6,31.4,117.0,99.0,"MVP-11,DPOY-9,AS,NBA2"
9.0,Mike Bibby,26.0,SAC,PG,80.0,80.0,3084.0,9.4,21.1,0.443,2.2,6.1,0.36,7.2,15.1,0.477,0.495,5.4,6.9,0.775,1.3,4.3,5.6,9.0,2.1,0.5,3.4,3.2,26.3,112.0,110.0,
10.0,Ray Allen,29.0,SEA,SG,78.0,78.0,3064.0,11.4,26.6,0.428,3.7,9.9,0.376,7.7,16.7,0.459,0.498,6.7,7.6,0.883,1.4,4.8,6.2,5.2,1.5,0.1,3.0,3.0,33.3,117.0,112.0,"MVP-9,AS,NBA2"
11.0,Tayshaun Prince,24.0,DET,SF,82.0,82.0,3039.0,8.5,17.4,0.487,0.9,2.5,0.341,7.6,14.9,0.512,0.511,4.0,5.0,0.807,2.4,5.5,7.9,4.5,1.0,1.3,2.4,2.9,21.8,114.0,104.0,DPOY-7
12.0,Dirk Nowitzki,26.0,DAL,PF,78.0,78.0,3020.0,11.4,24.8,0.459,1.6,3.9,0.399,9.8,20.9,0.47,0.49,10.5,12.1,0.869,1.6,11.3,13.0,4.1,1.7,2.0,3.0,3.8,34.8,118.0,100.0,"MVP-3,AS,NBA1"
13.0,Chris Bosh,20.0,TOR,PF,81.0,81.0,3017.0,8.1,17.3,0.471,0.1,0.2,0.3,8.1,17.1,0.472,0.472,7.1,9.3,0.76,3.3,9.0,12.3,2.6,1.3,1.9,3.2,3.9,23.4,107.0,107.0,
14.0,Elton Brand,25.0,LAC,PF,81.0,81.0,3001.0,11.3,22.4,0.503,0.0,0.1,0.0,11.3,22.4,0.504,0.503,6.5,8.7,0.752,5.3,8.5,13.8,3.7,1.1,3.0,3.3,4.3,29.1,113.0,104.0,
15.0,Steve Francis,27.0,ORL,PG,78.0,78.0,2978.0,9.6,22.6,0.423,0.6,2.2,0.299,8.9,20.5,0.436,0.438,8.5,10.3,0.823,2.1,5.5,7.7,9.3,1.9,0.5,5.4,4.6,28.3,105.0,108.0,
16.0,Dwyane Wade,23.0,MIA,SG,77.0,77.0,2974.0,11.2,23.4,0.478,0.2,0.8,0.289,11.0,22.6,0.485,0.483,10.3,13.5,0.762,2.0,5.1,7.1,9.2,2.2,1.5,5.7,4.1,33.0,109.0,103.0,"MVP-8,DPOY-21,AS,NBA2"
17.0,Paul Pierce,27.0,BOS,SF,82.0,82.0,2960.0,9.7,21.3,0.455,1.9,5.1,0.37,7.8,16.2,0.481,0.499,9.5,11.6,0.822,1.4,8.0,9.4,6.0,2.3,0.7,4.0,4.4,30.8,114.0,105.0,AS
18.0,Antoine Walker,28.0,2TM,PF,77.0,77.0,2955.0,10.3,24.3,0.422,1.9,6.0,0.323,8.3,18.3,0.455,0.462,3.6,6.6,0.539,3.2,9.1,12.3,4.7,1.6,1.0,4.5,3.8,26.0,95.0,108.0,
19.0,Richard Hamilton,26.0,DET,SG,76.0,76.0,2926.0,9.6,21.8,0.44,0.7,2.2,0.305,8.9,19.6,0.455,0.455,6.9,8.1,0.858,1.4,4.2,5.6,7.0,1.4,0.2,4.1,4.4,26.8,106.0,105.0,
20.0,Chucky Atkins,30.0,LAL,PG,82.0,82.0,2903.0,7.1,16.6,0.426,3.2,8.3,0.387,3.9,8.3,0.466,0.523,3.0,3.7,0.803,0.6,3.0,3.6,6.5,1.3,0.0,2.7,3.3,20.3,112.0,115.0,
21.0,Desmond Mason,27.0,MIL,SF,80.0,71.0,2893.0,8.7,19.7,0.443,0.0,0.1,0.125,8.7,19.6,0.445,0.443,7.7,9.6,0.802,1.6,4.1,5.7,4.0,1.1,0.5,3.0,3.6,25.2,107.0,113.0,
22.0,Amar'e Stoudemire,22.0,PHO,C,80.0,80.0,2889.0,12.9,23.1,0.559,0.1,0.3,0.188,12.9,22.9,0.564,0.56,10.1,13.8,0.733,3.8,8.6,12.4,2.3,1.3,2.3,3.3,4.8,36.0,121.0,105.0,"MVP-9,AS,NBA2"
23.0,Chauncey Billups,28.0,DET,PG,80.0,80.0,2866.0,7.8,17.5,0.442,3.2,7.4,0.426,4.6,10.1,0.454,0.533,6.6,7.3,0.898,0.9,4.3,5.2,8.9,1.6,0.2,3.5,3.7,25.3,121.0,105.0,
24.0,Kurt Thomas,32.0,NYK,PF,80.0,80.0,2855.0,7.9,16.7,0.471,0.0,0.1,0.5,7.8,16.6,0.47,0.472,1.2,1.6,0.786,3.2,12.3,15.4,3.0,1.3,1.5,1.8,5.7,17.0,104.0,105.0,
25.0,Andre Miller,28.0,DEN,PG,82.0,82.0,2852.0,7.7,16.1,0.477,0.1,0.7,0.154,7.6,15.4,0.492,0.48,4.6,5.4,0.838,1.8,4.3,6.1,10.2,2.2,0.1,4.0,3.7,20.0,109.0,106.0,
26.0,Michael Redd,25.0,MIL,SG,75.0,75.0,2848.0,11.6,26.3,0.441,1.9,5.4,0.355,9.7,20.9,0.463,0.477,6.9,8.0,0.854,1.3,4.5,5.8,3.2,1.2,0.1,2.5,2.8,32.0,110.0,113.0,
27.0,Eddie Jones,33.0,MIA,SF,80.0,80.0,2839.0,6.5,15.3,0.428,2.6,7.1,0.372,3.9,8.2,0.477,0.515,3.2,4.0,0.806,0.7,6.8,7.5,3.9,1.6,0.7,1.8,4.7,19.0,113.0,104.0,
28.0,Quentin Richardson,24.0,PHO,SG,79.0,78.0,2839.0,7.2,18.4,0.389,4.0,11.1,0.358,3.2,7.3,0.437,0.498,2.4,3.2,0.739,1.6,6.8,8.4,2.8,1.7,0.5,1.8,3.5,20.7,108.0,107.0,
29.0,Vince Carter,28.0,2TM,SF,77.0,76.0,2828.0,13.1,29.1,0.452,2.4,5.9,0.406,10.7,23.2,0.463,0.493,6.9,8.7,0.798,2.0,5.6,7.6,6.2,2.1,0.9,3.2,4.6,35.6,109.0,104.0,"MVP-13,AS"
30.0,P.J. Brown,35.0,NOH,PF,82.0,78.0,2817.0,6.6,14.8,0.446,0.0,0.0,,6.6,14.8,0.446,0.446,4.1,4.7,0.864,5.2,9.2,14.3,3.5,1.4,1.0,2.0,4.5,17.2,112.0,106.0,MVP-14
31.0,Kirk Hinrich,24.0,CHI,PG,77.0,77.0,2800.0,8.3,20.8,0.397,2.7,7.6,0.355,5.6,13.2,0.42,0.461,3.2,4.0,0.792,0.6,5.0,5.6,9.2,2.3,0.4,3.3,4.5,22.4,104.0,101.0,DPOY-12
32.0,Bobby Simmons,24.0,LAC,SF,75.0,74.0,2799.0,9.1,19.6,0.466,1.0,2.2,0.435,8.2,17.4,0.47,0.491,4.4,5.3,0.846,2.5,6.1,8.6,3.9,2.0,0.3,2.6,4.4,23.6,110.0,107.0,MIP-1
33.0,David Wesley,34.0,2TM,SG,80.0,79.0,2774.0,6.5,16.5,0.398,2.3,6.2,0.375,4.2,10.3,0.411,0.468,3.2,3.7,0.857,0.7,3.7,4.5,5.2,1.9,0.2,2.2,4.2,18.6,106.0,106.0,DPOY-16
34.0,Damon Stoudamire,31.0,POR,PG,81.0,70.0,2762.0,8.8,22.5,0.392,3.5,9.5,0.369,5.3,13.1,0.409,0.47,3.5,3.9,0.915,1.1,4.9,6.0,8.9,1.7,0.0,3.2,3.1,24.7,108.0,110.0,
35.0,Caron Butler,24.0,LAL,SF,77.0,77.0,2746.0,8.5,19.1,0.445,0.7,2.4,0.304,7.8,16.7,0.465,0.464,5.3,6.1,0.862,2.8,5.9,8.7,2.8,2.1,0.4,2.4,4.1,23.0,110.0,111.0,
36.0,Tony Parker,22.0,SAS,PG,80.0,80.0,2735.0,10.6,22.1,0.482,0.8,3.1,0.276,9.8,19.0,0.516,0.501,4.1,6.4,0.65,0.9,5.0,5.9,9.7,1.9,0.1,4.2,3.3,26.3,106.0,101.0,
