Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Antoine Walker,25.0,BOS,PF,81.0,81.0,3406.0,10.1,25.7,0.394,3.4,9.8,0.344,6.8,15.9,0.425,0.46,3.7,4.9,0.741,2.3,8.6,10.9,6.2,1.9,0.6,3.8,3.6,27.3,99.0,101.0,AS
2.0,Tim Duncan,25.0,SAS,PF,82.0,82.0,3329.0,12.2,24.1,0.508,0.0,0.2,0.1,12.2,23.9,0.511,0.508,9.0,11.2,0.799,4.3,12.4,16.7,4.9,1.0,3.3,4.2,3.5,33.5,114.0,96.0,"MVP-1,AS,NBA1"
3.0,Latrell Sprewell,31.0,NYK,SF,81.0,81.0,3326.0,9.2,22.8,0.404,2.3,6.5,0.36,6.9,16.3,0.421,0.455,4.6,5.6,0.821,0.9,3.8,4.8,5.0,1.5,0.2,3.6,2.6,25.3,98.0,109.0,
4.0,Baron Davis,22.0,CHH,PG,82.0,82.0,3318.0,9.0,21.6,0.417,2.7,7.7,0.356,6.3,13.9,0.451,0.48,3.2,5.5,0.58,1.5,4.1,5.6,11.3,2.8,0.8,4.0,3.9,23.9,105.0,104.0,AS
5.0,Paul Pierce,24.0,BOS,SG,82.0,82.0,3302.0,11.1,25.1,0.442,3.3,8.2,0.404,7.8,16.9,0.461,0.508,8.2,10.1,0.809,1.3,7.6,8.9,4.1,2.4,1.4,3.8,3.7,33.7,109.0,99.0,"MVP-11,AS,NBA3"
6.0,Gary Payton,33.0,SEA,PG,82.0,82.0,3301.0,12.0,25.8,0.467,1.2,3.9,0.314,10.8,21.9,0.494,0.49,4.4,5.5,0.797,1.3,5.2,6.5,12.0,2.1,0.4,3.4,2.9,29.6,114.0,107.0,"MVP-6,AS,NBA2"
7.0,Stephon Marbury,24.0,PHO,PG,82.0,80.0,3187.0,10.3,23.3,0.442,1.2,4.1,0.286,9.1,19.2,0.476,0.467,5.8,7.4,0.781,1.2,3.1,4.4,11.0,1.3,0.2,4.7,3.1,27.6,106.0,109.0,
8.0,Kevin Garnett,25.0,MIN,PF,81.0,81.0,3175.0,11.0,23.4,0.47,0.6,1.9,0.319,10.4,21.5,0.484,0.484,6.0,7.5,0.801,4.1,12.3,16.4,7.0,1.6,2.1,3.8,3.1,28.6,111.0,101.0,"MVP-12,DPOY-2,AS,NBA2"
9.0,Eddie Jones,30.0,MIA,SG,81.0,81.0,3156.0,9.0,20.8,0.432,2.6,6.6,0.39,6.4,14.2,0.451,0.494,5.2,6.2,0.837,1.1,5.5,6.6,4.6,2.0,1.3,2.6,4.5,25.7,109.0,100.0,
10.0,Jalen Rose,29.0,2TM,SF,83.0,83.0,3153.0,11.0,24.3,0.455,1.5,4.1,0.362,9.6,20.2,0.474,0.485,4.7,5.6,0.839,0.7,5.5,6.2,5.9,1.3,0.7,3.3,4.2,28.3,103.0,107.0,
