Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Kareem Abdul-Jabbar,24.0,MIL,C,81.0,,44.2,14.3,24.9,0.574,6.2,9.0,0.689,16.6,4.6,2.9,34.8,"MVP-1,AS,NBA1"
2.0,Tiny Archibald,23.0,CIN,PG,76.0,,43.1,9.7,19.9,0.486,8.9,10.8,0.822,2.9,9.2,2.6,28.2,"MVP-15,NBA2"
3.0,John Havlicek,31.0,BOS,SF,82.0,,45.1,10.9,23.9,0.458,5.6,6.7,0.834,8.2,7.5,2.2,27.5,"MVP-4,AS,NBA1"
4.0,Spencer Haywood,22.0,SEA,PF,73.0,,43.4,9.8,21.3,0.461,6.6,8.0,0.819,12.7,2.0,2.8,26.2,"MVP-5,AS,NBA1"
5.0,Gail Goodrich,28.0,LAL,SG,82.0,,37.1,10.1,20.7,0.487,5.8,6.8,0.85,3.6,4.5,2.6,25.9,"MVP-21,AS"
6.0,Bob Love,29.0,CHI,PF,79.0,77.0,39.3,10.4,23.5,0.442,5.1,6.4,0.784,6.6,1.6,3.0,25.8,"MVP-6,AS,NBA2"
7.0,Jerry West,33.0,LAL,PG,77.0,,38.6,9.5,20.0,0.477,6.7,8.2,0.814,4.2,9.7,2.7,25.8,"MVP-2,AS,NBA1"
8.0,Bob Lanier,23.0,DET,C,80.0,,38.7,10.4,21.1,0.493,4.9,6.3,0.768,14.2,3.1,3.7,25.7,"MVP-9,AS"
9.0,Archie Clark,30.0,2TM,PG,77.0,1.0,42.7,9.2,19.7,0.47,6.7,8.7,0.771,3.5,8.0,2.5,25.2,"MVP-12,AS,NBA2"
10.0,Elvin Hayes,26.0,HOU,C,82.0,,42.2,10.1,23.4,0.434,4.9,7.5,0.649,14.6,3.3,2.8,25.2,"MVP-17,AS"
11.0,Lou Hudson,27.0,ATL,SG,77.0,,39.5,10.1,20.0,0.503,4.5,5.6,0.812,5.0,4.0,2.9,24.7,AS
12.0,Sidney Wicks,22.0,POR,PF,82.0,,39.6,9.6,22.4,0.427,5.4,7.6,0.71,11.5,4.3,2.3,24.5,"MVP-17,ROY-1,AS"
13.0,Billy Cunningham,28.0,PHI,SF,75.0,75.0,38.7,8.8,19.0,0.461,5.7,8.0,0.712,12.2,5.9,3.9,23.3,"MVP-21,AS,NBA2"
14.0,Walt Frazier,26.0,NYK,PG,77.0,77.0,40.6,8.7,17.0,0.512,5.8,7.2,0.808,6.7,5.8,2.4,23.2,"MVP-11,AS,NBA1"
15.0,Jo Jo White,25.0,BOS,PG,79.0,,41.3,9.7,22.6,0.431,3.6,4.3,0.831,5.6,5.3,2.9,23.1,AS
17.0,Jack Marin,27.0,BAL,SF,78.0,,37.5,8.8,18.5,0.478,4.6,5.1,0.894,6.8,2.2,3.1,22.3,AS
18.0,Chet Walker,31.0,CHI,SF,78.0,78.0,33.2,7.9,15.7,0.505,6.2,7.3,0.847,6.1,2.3,2.2,22.0,
19.0,Jeff Mullins,29.0,GSW,SG,80.0,,40.2,8.6,18.3,0.467,4.4,5.5,0.794,5.6,5.9,3.3,21.5,
