Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,DeMar DeRozan,34.0,CHI,SF,79.0,79.0,2989.0,10.8,22.6,0.48,1.3,3.8,0.333,9.6,18.8,0.509,0.507,8.7,10.2,0.853,0.7,5.0,5.7,7.0,1.5,0.8,2.3,2.7,31.6,122.0,118.0,CPOY-2
2.0,Domantas Sabonis,27.0,SAC,C,82.0,82.0,2928.0,10.5,17.7,0.594,0.5,1.4,0.379,10.0,16.3,0.613,0.609,4.8,6.9,0.704,4.9,13.7,18.6,11.2,1.2,0.8,4.5,4.1,26.4,127.0,112.0,"MVP-8,DPOY-10,NBA3"
3.0,Coby White,23.0,CHI,PG,79.0,78.0,2881.0,9.4,20.9,0.447,3.6,9.6,0.376,5.7,11.3,0.508,0.534,3.8,4.5,0.838,0.8,5.4,6.2,7.0,0.9,0.3,2.9,3.2,26.1,115.0,120.0,
4.0,Mikal Bridges,27.0,BRK,SF,82.0,82.0,2854.0,9.8,22.5,0.436,3.8,10.3,0.372,6.0,12.2,0.49,0.521,4.5,5.5,0.814,1.2,5.3,6.5,5.2,1.4,0.5,2.8,2.0,27.9,112.0,118.0,
5.0,Paolo Banchero,21.0,ORL,PF,80.0,80.0,2799.0,11.3,24.9,0.455,2.1,6.2,0.339,9.2,18.7,0.493,0.497,7.2,9.9,0.725,1.5,8.3,9.8,7.6,1.3,0.8,4.4,2.7,31.9,109.0,112.0,AS
6.0,Kevin Durant,35.0,PHO,PF,75.0,75.0,2791.0,13.1,25.1,0.523,2.9,7.1,0.413,10.2,18.0,0.567,0.581,6.3,7.4,0.856,0.7,7.9,8.7,6.6,1.2,1.6,4.3,2.3,35.5,118.0,114.0,"MVP-9,AS,NBA2"
7.0,Dejounte Murray,27.0,ATL,SG,78.0,78.0,2783.0,11.6,25.2,0.459,3.5,9.5,0.363,8.1,15.7,0.518,0.528,3.6,4.5,0.794,1.1,6.1,7.2,8.7,1.9,0.4,3.5,2.4,30.2,114.0,119.0,
8.0,Anthony Edwards,22.0,MIN,SG,79.0,78.0,2770.0,12.8,27.8,0.461,3.4,9.5,0.357,9.4,18.3,0.515,0.522,7.5,9.0,0.836,0.9,6.7,7.7,7.2,1.8,0.7,4.3,2.5,36.6,112.0,110.0,"MVP-7,CPOY-8,AS,NBA2"
9.0,Nikola Jokić,28.0,DEN,C,79.0,79.0,2737.0,14.9,25.6,0.583,1.5,4.2,0.359,13.4,21.4,0.626,0.612,6.5,7.9,0.817,4.0,13.6,17.7,12.8,2.0,1.2,4.3,3.5,37.8,131.0,108.0,"MVP-1,CPOY-4,AS,NBA1"
10.0,Jalen Brunson,27.0,NYK,PG,77.0,77.0,2726.0,14.6,30.5,0.479,3.9,9.7,0.401,10.7,20.8,0.516,0.543,7.8,9.2,0.847,0.8,4.3,5.1,9.6,1.3,0.2,3.4,2.7,40.9,124.0,117.0,"MVP-5,CPOY-5,AS,NBA2"
11.0,Josh Hart,28.0,NYK,SF,81.0,42.0,2707.0,5.5,12.6,0.434,1.5,4.8,0.31,4.0,7.8,0.511,0.493,1.7,2.1,0.791,2.4,10.2,12.6,6.2,1.4,0.4,2.2,3.2,14.2,115.0,113.0,
12.0,Anthony Davis,30.0,LAL,C,76.0,76.0,2700.0,12.6,22.6,0.556,0.5,1.9,0.271,12.0,20.7,0.582,0.567,7.4,9.1,0.816,4.2,12.7,16.9,4.7,1.6,3.1,2.8,3.1,33.0,124.0,109.0,"DPOY-4,AS,NBA2"
13.0,Fred VanVleet,29.0,HOU,PG,73.0,73.0,2684.0,7.6,18.4,0.416,4.1,10.6,0.387,3.5,7.8,0.454,0.527,3.6,4.1,0.86,0.6,4.4,5.0,10.6,1.8,1.1,2.3,3.3,22.9,123.0,114.0,
